0	25	-39	14	0	0	14	-39	25	0	
-3	25	-39	14	3	-3	15	-42	27	3	
-6	24	-38	14	6	-6	20	-49	29	6	
-8	23	-36	14	8	-9	26	-57	31	9	
-10	21	-35	14	10	-11	32	-63	31	11	
-10	21	-35	14	10	-12	36	-65	29	12	
-10	20	-36	16	10	-11	37	-62	25	11	
-8	20	-37	18	8	-9	36	-55	19	9	
-6	19	-39	20	6	-6	32	-47	15	6	
-3	17	-40	23	3	-3	28	-40	12	3	
0	14	-39	25	0	0	25	-39	14	0	
3	15	-42	27	-3	3	25	-39	14	-3	
6	20	-49	29	-6	6	24	-38	14	-6	
9	26	-57	31	-9	8	23	-36	14	-8	
11	32	-63	31	-11	10	21	-35	14	-10	
12	36	-65	29	-12	10	21	-35	14	-10	
11	37	-62	25	-11	10	20	-36	16	-10	
9	36	-55	19	-9	8	20	-37	18	-8	
6	32	-47	15	-6	6	19	-39	20	-6	
3	28	-40	12	-3	3	17	-40	23	-3	
